Date,Series,Value
2017-06-19,Average Tone,-0.8385
2017-06-20,Average Tone,-1.8101
2017-06-21,Average Tone,-0.1507
2017-06-22,Average Tone,0.0658
2017-06-23,Average Tone,-0.5502
2017-06-24,Average Tone,-0.9061
2017-06-25,Average Tone,-1.2052
2017-06-26,Average Tone,-0.8563
2017-06-27,Average Tone,-0.7974
2017-06-28,Average Tone,-0.7444
2017-06-29,Average Tone,0.0971
2017-06-30,Average Tone,-0.4148
2017-07-01,Average Tone,-2.2239
2017-07-02,Average Tone,-0.5828
2017-07-03,Average Tone,-0.9577
2017-07-04,Average Tone,-1.5404
2017-07-05,Average Tone,-1.2998
2017-07-06,Average Tone,-1.2725
2017-07-07,Average Tone,-1.6973
2017-07-08,Average Tone,-0.766
2017-07-09,Average Tone,-0.3231
2017-07-10,Average Tone,-1.0935
2017-07-11,Average Tone,-0.3118
2017-07-12,Average Tone,-0.6675
2017-07-13,Average Tone,-0.4922
2017-07-14,Average Tone,-0.9351
2017-07-15,Average Tone,-1.4216
2017-07-16,Average Tone,-0.6789
2017-07-17,Average Tone,-0.4997
2017-07-18,Average Tone,-0.1419
2017-07-19,Average Tone,-0.639
2017-07-20,Average Tone,-0.78
2017-07-21,Average Tone,-0.1966
2017-07-22,Average Tone,-0.3617
2017-07-23,Average Tone,-0.5837
2017-07-24,Average Tone,-0.3559
2017-07-25,Average Tone,-1.095
2017-07-26,Average Tone,-0.6706
2017-07-27,Average Tone,-0.1368
2017-07-28,Average Tone,-0.4541
2017-07-29,Average Tone,-1.5852
2017-07-30,Average Tone,0.3216
2017-07-31,Average Tone,-1.396
2017-08-01,Average Tone,-0.5689
2017-08-02,Average Tone,-1.8811
2017-08-03,Average Tone,-0.8647
2017-08-04,Average Tone,-0.2429
2017-08-05,Average Tone,-3.193
2017-08-06,Average Tone,-1.8365
2017-08-07,Average Tone,-0.9765
2017-08-08,Average Tone,-0.9034
2017-08-09,Average Tone,-2.0719
2017-08-10,Average Tone,-1.5219
2017-08-11,Average Tone,-1.6135
2017-08-12,Average Tone,-2.6812
2017-08-13,Average Tone,-3.0383
2017-08-14,Average Tone,-2.3345
2017-08-15,Average Tone,-2.5418
2017-08-16,Average Tone,-0.8801
2017-08-17,Average Tone,-1.5167
2017-08-18,Average Tone,-1.5393
2017-08-19,Average Tone,-1.1358
2017-08-20,Average Tone,-2.4288
2017-08-21,Average Tone,-2.3712
2017-08-22,Average Tone,-1.5814
2017-08-23,Average Tone,-1.9826
2017-08-24,Average Tone,-1.1237
2017-08-25,Average Tone,-0.3081
2017-08-26,Average Tone,-0.1897
2017-08-27,Average Tone,-0.9195
2017-08-28,Average Tone,-0.9669
2017-08-29,Average Tone,-1.3178
2017-08-30,Average Tone,-1.0879
2017-08-31,Average Tone,-0.5063
2017-09-01,Average Tone,-0.5766
2017-09-02,Average Tone,-0.5913
2017-09-03,Average Tone,-2.3415
2017-09-04,Average Tone,-1.7829
2017-09-05,Average Tone,-2.2899
2017-09-06,Average Tone,-1.3822
2017-09-07,Average Tone,-1.2744
2017-09-08,Average Tone,-0.1623
2017-09-09,Average Tone,-2.1083
2017-09-10,Average Tone,-2.1987
2017-09-11,Average Tone,-0.3479
2017-09-12,Average Tone,-0.9173
2017-09-13,Average Tone,-0.5192
2017-09-14,Average Tone,-0.5336
2017-09-15,Average Tone,-2.2651
2017-09-16,Average Tone,-1.4745
2017-09-17,Average Tone,-0.963
2017-09-18,Average Tone,-0.6705
2017-09-19,Average Tone,-1.3547
2017-09-20,Average Tone,-1.4246
2017-09-21,Average Tone,-1.3639
2017-09-22,Average Tone,-2.2307
2017-09-23,Average Tone,-2.2355
2017-09-24,Average Tone,-1.2304
2017-09-25,Average Tone,-1.0504
2017-09-26,Average Tone,-1.2653
2017-09-27,Average Tone,-0.0744
2017-09-28,Average Tone,-0.0467
2017-09-29,Average Tone,-1.08
2017-09-30,Average Tone,-1.3242
2017-10-01,Average Tone,-0.8545
2017-10-02,Average Tone,-0.4221
2017-10-03,Average Tone,-0.3247
2017-10-04,Average Tone,-0.5333
2017-10-05,Average Tone,-1.3579
2017-10-06,Average Tone,-1.263
2017-10-07,Average Tone,-0.1722
2017-10-08,Average Tone,-0.9119
