Date,Series,Value
2017-06-10,Volume Intensity,0.0306
2017-06-11,Volume Intensity,0.0386
2017-06-12,Volume Intensity,0.0725
2017-06-13,Volume Intensity,0.0695
2017-06-14,Volume Intensity,0.0615
2017-06-15,Volume Intensity,0.061
2017-06-16,Volume Intensity,0.0684
2017-06-17,Volume Intensity,0.0517
2017-06-18,Volume Intensity,0.0618
2017-06-19,Volume Intensity,0.067
2017-06-20,Volume Intensity,0.0905
2017-06-21,Volume Intensity,0.0727
2017-06-22,Volume Intensity,0.0906
2017-06-23,Volume Intensity,0.097
2017-06-24,Volume Intensity,0.1113
2017-06-25,Volume Intensity,0.1026
2017-06-26,Volume Intensity,0.0973
2017-06-27,Volume Intensity,0.0837
2017-06-28,Volume Intensity,0.0676
2017-06-29,Volume Intensity,0.1131
2017-06-30,Volume Intensity,0.0939
2017-07-01,Volume Intensity,0.0933
2017-07-02,Volume Intensity,0.0691
2017-07-03,Volume Intensity,0.0793
2017-07-04,Volume Intensity,0.1329
2017-07-05,Volume Intensity,0.1211
2017-07-06,Volume Intensity,0.0947
2017-07-07,Volume Intensity,0.1434
2017-07-08,Volume Intensity,0.1961
2017-07-09,Volume Intensity,0.1128
2017-07-10,Volume Intensity,0.0964
2017-07-11,Volume Intensity,0.0647
2017-07-12,Volume Intensity,0.0935
2017-07-13,Volume Intensity,0.0759
2017-07-14,Volume Intensity,0.0871
2017-07-15,Volume Intensity,0.084
2017-07-16,Volume Intensity,0.0515
2017-07-17,Volume Intensity,0.0844
2017-07-18,Volume Intensity,0.068
2017-07-19,Volume Intensity,0.0704
2017-07-20,Volume Intensity,0.0584
2017-07-21,Volume Intensity,0.0921
2017-07-22,Volume Intensity,0.0621
2017-07-23,Volume Intensity,0.0512
2017-07-24,Volume Intensity,0.0688
2017-07-25,Volume Intensity,0.067
2017-07-26,Volume Intensity,0.0611
2017-07-27,Volume Intensity,0.0912
2017-07-28,Volume Intensity,0.0599
2017-07-29,Volume Intensity,0.0936
2017-07-30,Volume Intensity,0.109
2017-07-31,Volume Intensity,0.0985
2017-08-01,Volume Intensity,0.0564
2017-08-02,Volume Intensity,0.0862
2017-08-03,Volume Intensity,0.085
2017-08-04,Volume Intensity,0.0715
2017-08-05,Volume Intensity,0.0746
2017-08-06,Volume Intensity,0.1505
2017-08-07,Volume Intensity,0.0744
2017-08-08,Volume Intensity,0.0824
2017-08-09,Volume Intensity,0.1005
2017-08-10,Volume Intensity,0.0767
2017-08-11,Volume Intensity,0.1341
2017-08-12,Volume Intensity,0.1109
2017-08-13,Volume Intensity,0.0705
2017-08-14,Volume Intensity,0.1266
2017-08-15,Volume Intensity,0.0839
2017-08-16,Volume Intensity,0.0706
2017-08-17,Volume Intensity,0.0974
2017-08-18,Volume Intensity,0.0761
2017-08-19,Volume Intensity,0.0592
2017-08-20,Volume Intensity,0.0898
2017-08-21,Volume Intensity,0.1015
2017-08-22,Volume Intensity,0.0669
2017-08-23,Volume Intensity,0.0709
2017-08-24,Volume Intensity,0.1893
2017-08-25,Volume Intensity,0.0757
2017-08-26,Volume Intensity,0.0314
2017-08-27,Volume Intensity,0.0329
2017-08-28,Volume Intensity,0.0556
2017-08-29,Volume Intensity,0.0856
2017-08-30,Volume Intensity,0.0793
2017-08-31,Volume Intensity,0.0994
2017-09-01,Volume Intensity,0.0919
2017-09-02,Volume Intensity,0.0668
2017-09-03,Volume Intensity,0.1948
2017-09-04,Volume Intensity,0.1899
2017-09-05,Volume Intensity,0.1586
2017-09-06,Volume Intensity,0.0943
2017-09-07,Volume Intensity,0.084
2017-09-08,Volume Intensity,0.0895
2017-09-09,Volume Intensity,0.0942
2017-09-10,Volume Intensity,0.0887
2017-09-11,Volume Intensity,0.0799
2017-09-12,Volume Intensity,0.065
2017-09-13,Volume Intensity,0.0671
2017-09-14,Volume Intensity,0.0808
2017-09-15,Volume Intensity,0.1054
2017-09-16,Volume Intensity,0.0712
2017-09-17,Volume Intensity,0.053
2017-09-18,Volume Intensity,0.0877
2017-09-19,Volume Intensity,0.0711
2017-09-20,Volume Intensity,0.1005
2017-09-21,Volume Intensity,0.1051
2017-09-22,Volume Intensity,0.0975
2017-09-23,Volume Intensity,0.1019
2017-09-24,Volume Intensity,0.0654
2017-09-25,Volume Intensity,0.0781
2017-09-26,Volume Intensity,0.0844
2017-09-27,Volume Intensity,0.0726
2017-09-28,Volume Intensity,0.0899
2017-09-29,Volume Intensity,0.1067
2017-09-30,Volume Intensity,0.1005
2017-10-01,Volume Intensity,0.1151
2017-10-02,Volume Intensity,0.0963
2017-10-03,Volume Intensity,0.0683
2017-10-04,Volume Intensity,0.0689
2017-10-05,Volume Intensity,0.0874
2017-10-06,Volume Intensity,0.0847
2017-10-07,Volume Intensity,0.0493
2017-10-08,Volume Intensity,0.0673
2017-10-09,Volume Intensity,0.0744
2017-10-10,Volume Intensity,0.0912
2017-10-11,Volume Intensity,0.0669
2017-10-12,Volume Intensity,0.0759
2017-10-13,Volume Intensity,0.1091
2017-10-14,Volume Intensity,0.0831
2017-10-15,Volume Intensity,0.0622
2017-10-16,Volume Intensity,0.0702
2017-10-17,Volume Intensity,0.1056
2017-10-18,Volume Intensity,0.0979
2017-10-19,Volume Intensity,0.0691
2017-10-20,Volume Intensity,0.0728
2017-10-21,Volume Intensity,0.0576
2017-10-22,Volume Intensity,0.0429
2017-10-23,Volume Intensity,0.0626
2017-10-24,Volume Intensity,0.083
2017-10-25,Volume Intensity,0.0672
2017-10-26,Volume Intensity,0.069
2017-10-27,Volume Intensity,0.0723
2017-10-28,Volume Intensity,0.0406
2017-10-29,Volume Intensity,0.0482
2017-10-30,Volume Intensity,0.0677
2017-10-31,Volume Intensity,0.0856
2017-11-01,Volume Intensity,0.0627
2017-11-02,Volume Intensity,0.0972
2017-11-03,Volume Intensity,0.1143
2017-11-04,Volume Intensity,0.115
2017-11-05,Volume Intensity,0.0677
2017-11-06,Volume Intensity,0.0926
2017-11-07,Volume Intensity,0.1062
2017-11-08,Volume Intensity,0.1372
2017-11-09,Volume Intensity,0.0993
2017-11-10,Volume Intensity,0.1049
2017-11-11,Volume Intensity,0.0898
2017-11-12,Volume Intensity,0.0781
2017-11-13,Volume Intensity,0.1133
2017-11-14,Volume Intensity,0.0806
2017-11-15,Volume Intensity,0.0649
2017-11-16,Volume Intensity,0.0725
2017-11-17,Volume Intensity,0.0961
2017-11-18,Volume Intensity,0.098
2017-11-19,Volume Intensity,0.066
2017-11-20,Volume Intensity,0.0744
2017-11-21,Volume Intensity,0.0712
2017-11-22,Volume Intensity,0.0799
2017-11-23,Volume Intensity,0.117
2017-11-24,Volume Intensity,0.0787
2017-11-25,Volume Intensity,0.0497
2017-11-26,Volume Intensity,0.097
2017-11-27,Volume Intensity,0.0683
2017-11-28,Volume Intensity,0.1025
2017-11-29,Volume Intensity,0.1058
2017-11-30,Volume Intensity,0.0855
2017-12-03,Volume Intensity,0.1036
2017-12-04,Volume Intensity,0.1018
2017-12-05,Volume Intensity,0.07
2017-12-06,Volume Intensity,0.0892
2017-12-07,Volume Intensity,0.1051
2017-12-08,Volume Intensity,0.0663
2017-12-09,Volume Intensity,0.0619
2017-12-10,Volume Intensity,0.0666
2017-12-11,Volume Intensity,0.0995
2017-12-12,Volume Intensity,0.0782
2017-12-13,Volume Intensity,0.0656
2017-12-14,Volume Intensity,0.0629
2017-12-15,Volume Intensity,0.1052
2017-12-16,Volume Intensity,0.1784
2017-12-17,Volume Intensity,0.0621
2017-12-18,Volume Intensity,0.0839
2017-12-19,Volume Intensity,0.0914
2017-12-20,Volume Intensity,0.0751
2017-12-21,Volume Intensity,0.0715
2017-12-22,Volume Intensity,0.074
2017-12-23,Volume Intensity,0.1276
2017-12-24,Volume Intensity,0.0851
2017-12-25,Volume Intensity,0.0774
2017-12-26,Volume Intensity,0.1082
2017-12-27,Volume Intensity,0.0768
2017-12-28,Volume Intensity,0.0895
2017-12-29,Volume Intensity,0.0588
2017-12-30,Volume Intensity,0.0466
2017-12-31,Volume Intensity,0.0575
2018-01-01,Volume Intensity,0.0598
2018-01-02,Volume Intensity,0.1189
2018-01-03,Volume Intensity,0.1154
2018-01-04,Volume Intensity,0.0868
2018-01-05,Volume Intensity,0.0858
2018-01-06,Volume Intensity,0.0827
2018-01-07,Volume Intensity,0.0887
2018-01-08,Volume Intensity,0.1504
2018-01-09,Volume Intensity,0.0949
2018-01-10,Volume Intensity,0.0912
2018-01-11,Volume Intensity,0.0951
2018-01-12,Volume Intensity,0.097
2018-01-13,Volume Intensity,0.1751
2018-01-14,Volume Intensity,0.1473
2018-01-15,Volume Intensity,0.0935
2018-01-16,Volume Intensity,0.0989
2018-01-17,Volume Intensity,0.106
2018-01-18,Volume Intensity,0.0593
2018-01-19,Volume Intensity,0.0744
2018-01-20,Volume Intensity,0.0987
2018-01-21,Volume Intensity,0.0524
2018-01-22,Volume Intensity,0.0633
2018-01-23,Volume Intensity,0.09
2018-01-24,Volume Intensity,0.0781
2018-01-25,Volume Intensity,0.0781
2018-01-26,Volume Intensity,0.1119
2018-01-27,Volume Intensity,0.109
2018-01-28,Volume Intensity,0.0695
2018-01-29,Volume Intensity,0.119
2018-01-30,Volume Intensity,0.1233
2018-01-31,Volume Intensity,0.187
2018-02-01,Volume Intensity,0.1282
2018-02-02,Volume Intensity,0.151
2018-02-03,Volume Intensity,0.1095
2018-02-04,Volume Intensity,0.0676
2018-02-05,Volume Intensity,0.122
2018-02-06,Volume Intensity,0.079
2018-02-07,Volume Intensity,0.0833
2018-02-08,Volume Intensity,0.0969
2018-02-09,Volume Intensity,0.0795
2018-02-10,Volume Intensity,0.0588
2018-02-11,Volume Intensity,0.0719
2018-02-12,Volume Intensity,0.0937
2018-02-13,Volume Intensity,0.0766
2018-02-14,Volume Intensity,0.0969
2018-02-15,Volume Intensity,0.0863
2018-02-16,Volume Intensity,0.0835
2018-02-17,Volume Intensity,0.073
2018-02-18,Volume Intensity,0.1166
2018-02-19,Volume Intensity,0.086
2018-02-20,Volume Intensity,0.0778
2018-02-21,Volume Intensity,0.0498
2018-02-22,Volume Intensity,0.0776
2018-02-23,Volume Intensity,0.0873
2018-02-24,Volume Intensity,0.0434
2018-02-25,Volume Intensity,0.0657
2018-02-26,Volume Intensity,0.1232
2018-02-27,Volume Intensity,0.0784
2018-02-28,Volume Intensity,0.0973
2018-03-01,Volume Intensity,0.0749
2018-03-02,Volume Intensity,0.143
2018-03-03,Volume Intensity,0.0576
2018-03-04,Volume Intensity,0.0834
2018-03-05,Volume Intensity,0.1257
2018-03-06,Volume Intensity,0.0732
2018-03-07,Volume Intensity,0.0846
2018-03-08,Volume Intensity,0.1072
2018-03-09,Volume Intensity,0.1061
2018-03-10,Volume Intensity,0.1594
2018-03-11,Volume Intensity,0.1267
2018-03-12,Volume Intensity,0.1054
2018-03-13,Volume Intensity,0.073
2018-03-14,Volume Intensity,0.09
2018-03-15,Volume Intensity,0.085
2018-03-16,Volume Intensity,0.0787
2018-03-17,Volume Intensity,0.0628
2018-03-18,Volume Intensity,0.0527
2018-03-19,Volume Intensity,0.0852
2018-03-20,Volume Intensity,0.0653
2018-03-21,Volume Intensity,0.0626
2018-03-22,Volume Intensity,0.0794
2018-03-23,Volume Intensity,0.1233
2018-03-24,Volume Intensity,0.0594
2018-03-25,Volume Intensity,0.0729
2018-03-26,Volume Intensity,0.0996
2018-03-27,Volume Intensity,0.0829
2018-03-28,Volume Intensity,0.1259
2018-03-29,Volume Intensity,0.0801
2018-03-30,Volume Intensity,0.0635
2018-03-31,Volume Intensity,0.1118
2018-04-01,Volume Intensity,0.0716
2018-04-02,Volume Intensity,0.1101
2018-04-03,Volume Intensity,0.0908
2018-04-04,Volume Intensity,0.1282
2018-04-05,Volume Intensity,0.1081
2018-04-06,Volume Intensity,0.1276
2018-04-07,Volume Intensity,0.0729
2018-04-08,Volume Intensity,0.087
2018-04-09,Volume Intensity,0.1114
2018-04-10,Volume Intensity,0.1594
2018-04-11,Volume Intensity,0.1703
2018-04-12,Volume Intensity,0.1171
2018-04-13,Volume Intensity,0.0993
2018-04-14,Volume Intensity,0.0898
2018-04-15,Volume Intensity,0.0856
2018-04-16,Volume Intensity,0.0968
2018-04-17,Volume Intensity,0.1174
2018-04-18,Volume Intensity,0.0791
2018-04-19,Volume Intensity,0.064
2018-04-20,Volume Intensity,0.1047
2018-04-21,Volume Intensity,0.0916
2018-04-22,Volume Intensity,0.0671
2018-04-23,Volume Intensity,0.0736
2018-04-24,Volume Intensity,0.1306
2018-04-25,Volume Intensity,0.0979
2018-04-26,Volume Intensity,0.0922
2018-04-27,Volume Intensity,0.1229
2018-04-28,Volume Intensity,0.0851
2018-04-29,Volume Intensity,0.1753
2018-04-30,Volume Intensity,0.099
2018-05-01,Volume Intensity,0.1195
2018-05-02,Volume Intensity,0.1429
2018-05-03,Volume Intensity,0.1028
2018-05-04,Volume Intensity,0.0958
2018-05-05,Volume Intensity,0.1307
2018-05-06,Volume Intensity,0.0868
2018-05-07,Volume Intensity,0.1256
2018-05-08,Volume Intensity,0.2063
2018-05-09,Volume Intensity,0.178
2018-05-10,Volume Intensity,0.112
2018-05-11,Volume Intensity,0.0747
2018-05-12,Volume Intensity,0.0933
2018-05-13,Volume Intensity,0.1359
2018-05-14,Volume Intensity,0.1566
2018-05-15,Volume Intensity,0.12
2018-05-16,Volume Intensity,0.0926
2018-05-17,Volume Intensity,0.066
2018-05-18,Volume Intensity,0.0767
2018-05-19,Volume Intensity,0.0365
2018-05-20,Volume Intensity,0.0385
2018-05-21,Volume Intensity,0.1178
2018-05-22,Volume Intensity,0.0905
2018-05-23,Volume Intensity,0.1038
2018-05-24,Volume Intensity,0.087
2018-05-25,Volume Intensity,0.091
2018-05-26,Volume Intensity,0.07
2018-05-27,Volume Intensity,0.0322
2018-05-28,Volume Intensity,0.0554
2018-05-29,Volume Intensity,0.1069
2018-05-30,Volume Intensity,0.0897
2018-05-31,Volume Intensity,0.1061
2018-06-01,Volume Intensity,0.1167
2018-06-02,Volume Intensity,0.1038
2018-06-03,Volume Intensity,0.1029
2018-06-04,Volume Intensity,0.0797
2018-06-05,Volume Intensity,0.0681
2018-06-06,Volume Intensity,0.0818
2018-06-07,Volume Intensity,0.0869
2018-06-08,Volume Intensity,0.1156
2018-06-09,Volume Intensity,0.1031
2018-06-10,Volume Intensity,0.1476
2018-06-11,Volume Intensity,0.157
2018-06-12,Volume Intensity,0.0691
