Date,Series,Value
2017-07-17,Average Tone,0
2017-07-18,Average Tone,0
2017-07-19,Average Tone,0
2017-07-20,Average Tone,0
2017-07-21,Average Tone,0
2017-07-22,Average Tone,0
2017-07-23,Average Tone,0
2017-07-24,Average Tone,0
2017-07-25,Average Tone,-1.81
2017-07-26,Average Tone,0
2017-07-27,Average Tone,0
2017-07-28,Average Tone,0
2017-07-29,Average Tone,0
2017-07-30,Average Tone,-2.0305
2017-07-31,Average Tone,0
2017-08-01,Average Tone,-2.2317
2017-08-02,Average Tone,0
2017-08-03,Average Tone,0
2017-08-04,Average Tone,0
2017-08-05,Average Tone,0
2017-08-06,Average Tone,0
2017-08-07,Average Tone,-0.7821
2017-08-08,Average Tone,-0.6041
2017-08-09,Average Tone,0
2017-08-10,Average Tone,0
2017-08-11,Average Tone,0
2017-08-12,Average Tone,0
2017-08-13,Average Tone,0
2017-08-14,Average Tone,0
2017-08-15,Average Tone,-1.0196
2017-08-16,Average Tone,0
2017-08-17,Average Tone,-3.0828
2017-08-18,Average Tone,0
2017-08-19,Average Tone,0
2017-08-20,Average Tone,0
2017-08-21,Average Tone,0
2017-08-22,Average Tone,0
2017-08-23,Average Tone,1.5663
2017-08-24,Average Tone,0
2017-08-25,Average Tone,0
2017-08-26,Average Tone,0
2017-08-27,Average Tone,0.7569
2017-08-28,Average Tone,0
2017-08-29,Average Tone,0
2017-08-30,Average Tone,0
2017-08-31,Average Tone,0
2017-09-01,Average Tone,0
2017-09-02,Average Tone,0
2017-09-03,Average Tone,0
2017-09-04,Average Tone,0
2017-09-05,Average Tone,0
2017-09-06,Average Tone,0
2017-09-07,Average Tone,0
2017-09-08,Average Tone,1.9685
2017-09-09,Average Tone,2.9589
2017-09-10,Average Tone,-0.4774
2017-09-11,Average Tone,-1.3804
2017-09-12,Average Tone,0
2017-09-13,Average Tone,0
2017-09-14,Average Tone,0.2384
2017-09-15,Average Tone,0
2017-09-16,Average Tone,0
2017-09-17,Average Tone,0
2017-09-18,Average Tone,4.1599
2017-09-19,Average Tone,1.1331
2017-09-20,Average Tone,0
2017-09-21,Average Tone,0
2017-09-22,Average Tone,0
2017-09-23,Average Tone,0
2017-09-24,Average Tone,1.9868
2017-09-25,Average Tone,0
2017-09-26,Average Tone,3.2624
2017-09-27,Average Tone,4.2967
2017-09-28,Average Tone,0
2017-09-29,Average Tone,2.0093
2017-09-30,Average Tone,0
2017-10-01,Average Tone,0
2017-10-02,Average Tone,0
2017-10-03,Average Tone,0
2017-10-04,Average Tone,0
2017-10-05,Average Tone,0
2017-10-06,Average Tone,0
2017-10-07,Average Tone,1.5707
2017-10-08,Average Tone,0
2017-10-09,Average Tone,0.387
2017-10-10,Average Tone,0.7299
2017-10-11,Average Tone,-0.1748
2017-10-12,Average Tone,0
2017-10-13,Average Tone,0
2017-10-14,Average Tone,0
2017-10-15,Average Tone,0
2017-10-16,Average Tone,1.5152
2017-10-17,Average Tone,0
2017-10-18,Average Tone,0
2017-10-19,Average Tone,0.8271
2017-10-20,Average Tone,4.0881
2017-10-21,Average Tone,-5.0898
2017-10-22,Average Tone,0
2017-10-23,Average Tone,0.1684
2017-10-24,Average Tone,0
2017-10-25,Average Tone,-2.2628
2017-10-26,Average Tone,0
2017-10-27,Average Tone,0
2017-10-28,Average Tone,0
2017-10-29,Average Tone,0
2017-10-30,Average Tone,0
2017-10-31,Average Tone,0
2017-11-01,Average Tone,-3.7838
2017-11-02,Average Tone,-4.2272
2017-11-03,Average Tone,5.2273
2017-11-04,Average Tone,0
2017-11-05,Average Tone,0
2017-11-06,Average Tone,0
2017-11-07,Average Tone,1.6393
2017-11-08,Average Tone,0.5547
2017-11-09,Average Tone,0
2017-11-10,Average Tone,0
2017-11-11,Average Tone,0
2017-11-12,Average Tone,0
2017-11-13,Average Tone,0
2017-11-14,Average Tone,0
2017-11-15,Average Tone,2.2881
2017-11-16,Average Tone,0
2017-11-17,Average Tone,0
2017-11-18,Average Tone,0
2017-11-19,Average Tone,0
2017-11-20,Average Tone,0
2017-11-21,Average Tone,0
2017-11-22,Average Tone,0
2017-11-23,Average Tone,-4.793
2017-11-24,Average Tone,0
2017-11-25,Average Tone,0
2017-11-26,Average Tone,-3.1359
2017-11-27,Average Tone,0
2017-11-28,Average Tone,0
2017-11-29,Average Tone,4.4723
2017-11-30,Average Tone,4.2032
2017-12-03,Average Tone,0
2017-12-04,Average Tone,0
2017-12-05,Average Tone,0
2017-12-06,Average Tone,1.8592
2017-12-07,Average Tone,0
2017-12-08,Average Tone,2.4242
2017-12-09,Average Tone,2.4473
2017-12-10,Average Tone,0
2017-12-11,Average Tone,0
2017-12-12,Average Tone,0
2017-12-13,Average Tone,-0.1173
2017-12-14,Average Tone,0
2017-12-15,Average Tone,0
2017-12-16,Average Tone,0
2017-12-17,Average Tone,0
2017-12-18,Average Tone,0
2017-12-19,Average Tone,-2.087
2017-12-20,Average Tone,0
2017-12-21,Average Tone,0
2017-12-22,Average Tone,0
2017-12-23,Average Tone,0
2017-12-24,Average Tone,0
2017-12-25,Average Tone,0
2017-12-26,Average Tone,0
2017-12-27,Average Tone,-1.6166
2017-12-28,Average Tone,0
2017-12-29,Average Tone,0
2017-12-30,Average Tone,0
2017-12-31,Average Tone,0
2018-01-01,Average Tone,-2.6417
2018-01-02,Average Tone,0
2018-01-03,Average Tone,-0.9281
2018-01-04,Average Tone,2.6961
2018-01-05,Average Tone,0
2018-01-06,Average Tone,1.3084
2018-01-07,Average Tone,0
2018-01-08,Average Tone,0
2018-01-09,Average Tone,1.5686
2018-01-10,Average Tone,0
2018-01-11,Average Tone,0.8273
2018-01-12,Average Tone,0.3145
2018-01-13,Average Tone,-0.974
2018-01-14,Average Tone,0
2018-01-15,Average Tone,0
2018-01-16,Average Tone,0
2018-01-17,Average Tone,-4.1958
2018-01-18,Average Tone,-2.3939
2018-01-19,Average Tone,0
2018-01-20,Average Tone,0
2018-01-21,Average Tone,0
2018-01-22,Average Tone,0
2018-01-23,Average Tone,-2.3211
2018-01-24,Average Tone,0
2018-01-25,Average Tone,-1.084
2018-01-26,Average Tone,-0.3972
2018-01-27,Average Tone,0
2018-01-28,Average Tone,0
2018-01-29,Average Tone,0
2018-01-30,Average Tone,-4.2683
2018-01-31,Average Tone,0
2018-02-01,Average Tone,0
2018-02-02,Average Tone,-0.4862
2018-02-03,Average Tone,0
2018-02-04,Average Tone,-4.8387
2018-02-05,Average Tone,0
2018-02-06,Average Tone,-0.4484
2018-02-07,Average Tone,0
2018-02-08,Average Tone,0
2018-02-09,Average Tone,0
2018-02-10,Average Tone,0
2018-02-11,Average Tone,2.1084
2018-02-12,Average Tone,0
2018-02-13,Average Tone,1.0423
2018-02-14,Average Tone,3.5714
2018-02-15,Average Tone,-0.5624
2018-02-16,Average Tone,-3.3163
2018-02-17,Average Tone,1.8692
2018-02-18,Average Tone,0
2018-02-19,Average Tone,0
2018-02-20,Average Tone,0
2018-02-21,Average Tone,0
2018-02-22,Average Tone,0
2018-02-23,Average Tone,0
2018-02-24,Average Tone,2.9178
2018-02-25,Average Tone,0
2018-02-26,Average Tone,0
2018-02-27,Average Tone,0
2018-02-28,Average Tone,0
2018-03-01,Average Tone,0
2018-03-02,Average Tone,0.1873
2018-03-03,Average Tone,0
2018-03-04,Average Tone,0
2018-03-05,Average Tone,0.888
2018-03-06,Average Tone,0
2018-03-07,Average Tone,0
2018-03-08,Average Tone,0
2018-03-09,Average Tone,-0.8206
2018-03-10,Average Tone,0
2018-03-11,Average Tone,0
2018-03-12,Average Tone,0
2018-03-13,Average Tone,0
2018-03-14,Average Tone,2.0833
2018-03-15,Average Tone,0
2018-03-16,Average Tone,0
2018-03-17,Average Tone,0
2018-03-18,Average Tone,0
2018-03-19,Average Tone,0
2018-03-20,Average Tone,2.4566
2018-03-21,Average Tone,2.7387
2018-03-22,Average Tone,0.7248
2018-03-23,Average Tone,1.4085
2018-03-24,Average Tone,0
2018-03-25,Average Tone,0
2018-03-26,Average Tone,0
2018-03-27,Average Tone,1.6736
2018-03-28,Average Tone,-3.8898
2018-03-29,Average Tone,0
2018-03-30,Average Tone,0
2018-03-31,Average Tone,0
2018-04-01,Average Tone,0
2018-04-02,Average Tone,0.2659
2018-04-03,Average Tone,0
2018-04-04,Average Tone,0
2018-04-05,Average Tone,0
2018-04-06,Average Tone,0
2018-04-07,Average Tone,2.9904
2018-04-08,Average Tone,0
2018-04-09,Average Tone,0.773
2018-04-10,Average Tone,2.069
2018-04-11,Average Tone,1.1515
2018-04-12,Average Tone,0.74
2018-04-13,Average Tone,0
2018-04-14,Average Tone,0
2018-04-15,Average Tone,0
2018-04-16,Average Tone,0
2018-04-17,Average Tone,0.088
2018-04-18,Average Tone,0
2018-04-19,Average Tone,0
2018-04-20,Average Tone,0
2018-04-21,Average Tone,0
2018-04-22,Average Tone,0
2018-04-23,Average Tone,0
2018-04-24,Average Tone,1.9248
2018-04-25,Average Tone,0
2018-04-26,Average Tone,0
2018-04-27,Average Tone,1.5152
2018-04-28,Average Tone,3.1056
2018-04-29,Average Tone,0
2018-04-30,Average Tone,0
2018-05-01,Average Tone,0
2018-05-02,Average Tone,0
2018-05-03,Average Tone,0
2018-05-04,Average Tone,0.5983
2018-05-05,Average Tone,0
2018-05-06,Average Tone,-3.0697
2018-05-07,Average Tone,0
2018-05-08,Average Tone,1.7897
2018-05-09,Average Tone,-0.7043
2018-05-10,Average Tone,-1.0669
2018-05-11,Average Tone,0
2018-05-12,Average Tone,0
2018-05-13,Average Tone,0
2018-05-14,Average Tone,0
2018-05-15,Average Tone,0
2018-05-16,Average Tone,0
2018-05-17,Average Tone,0
2018-05-18,Average Tone,0
2018-05-19,Average Tone,0
2018-05-20,Average Tone,0
2018-05-21,Average Tone,0
2018-05-22,Average Tone,0
2018-05-23,Average Tone,0
2018-05-24,Average Tone,0
2018-05-25,Average Tone,0
2018-05-26,Average Tone,0
2018-05-27,Average Tone,0
2018-05-28,Average Tone,0
2018-05-29,Average Tone,0
2018-05-30,Average Tone,0
2018-05-31,Average Tone,0
2018-06-01,Average Tone,0
2018-06-02,Average Tone,0
2018-06-03,Average Tone,0
2018-06-04,Average Tone,0
2018-06-05,Average Tone,0
2018-06-06,Average Tone,0
2018-06-07,Average Tone,0
2018-06-08,Average Tone,0
2018-06-09,Average Tone,0
2018-06-10,Average Tone,0
2018-06-11,Average Tone,0
2018-06-12,Average Tone,0
2018-06-13,Average Tone,0
2018-06-14,Average Tone,2.5974
2018-06-15,Average Tone,1.2315
2018-06-16,Average Tone,0
2018-06-17,Average Tone,0
2018-06-18,Average Tone,0
2018-06-19,Average Tone,0
2018-06-20,Average Tone,1.3242
2018-06-21,Average Tone,0
2018-06-22,Average Tone,0
2018-06-23,Average Tone,0
2018-06-24,Average Tone,0
2018-06-25,Average Tone,0
2018-06-26,Average Tone,0
2018-06-27,Average Tone,0
2018-06-28,Average Tone,0
2018-06-29,Average Tone,0.1146
2018-06-30,Average Tone,0
2018-07-01,Average Tone,0
2018-07-02,Average Tone,-3.5533
2018-07-03,Average Tone,0
2018-07-04,Average Tone,0
2018-07-05,Average Tone,0
2018-07-06,Average Tone,0
2018-07-07,Average Tone,0
2018-07-08,Average Tone,0
2018-07-09,Average Tone,0
2018-07-10,Average Tone,0.5245
2018-07-11,Average Tone,0.5398
2018-07-12,Average Tone,0
2018-07-13,Average Tone,2.3339
2018-07-14,Average Tone,0
2018-07-15,Average Tone,0
2018-07-16,Average Tone,0
2018-07-17,Average Tone,0
2018-07-18,Average Tone,0
2018-07-19,Average Tone,0
2018-07-20,Average Tone,1.9309
2018-07-21,Average Tone,0
2018-07-22,Average Tone,0
2018-07-23,Average Tone,0
2018-07-24,Average Tone,0
2018-07-25,Average Tone,0
2018-07-26,Average Tone,0
2018-07-27,Average Tone,0
2018-07-28,Average Tone,1.3064
2018-07-29,Average Tone,0
2018-07-30,Average Tone,0
2018-07-31,Average Tone,0
2018-08-01,Average Tone,0
2018-08-02,Average Tone,0
2018-08-03,Average Tone,0
2018-08-04,Average Tone,0
2018-08-05,Average Tone,0
2018-08-06,Average Tone,0
2018-08-07,Average Tone,0
2018-08-08,Average Tone,0
2018-08-09,Average Tone,0
2018-08-10,Average Tone,1.2162
2018-08-11,Average Tone,0
2018-08-12,Average Tone,0
2018-08-13,Average Tone,0
2018-08-14,Average Tone,0.3654
2018-08-15,Average Tone,0
2018-08-16,Average Tone,0
2018-08-17,Average Tone,0
2018-08-18,Average Tone,0
2018-08-19,Average Tone,2.719
2018-08-20,Average Tone,0.4886
2018-08-21,Average Tone,0
2018-08-22,Average Tone,0
2018-08-23,Average Tone,0
2018-08-24,Average Tone,0.0348
2018-08-25,Average Tone,0
2018-08-26,Average Tone,0
2018-08-27,Average Tone,0
2018-08-28,Average Tone,0
2018-08-29,Average Tone,0.3205
2018-08-30,Average Tone,1.502
2018-08-31,Average Tone,0.6342
2018-09-01,Average Tone,0
2018-09-02,Average Tone,0
2018-09-03,Average Tone,2.2889
2018-09-04,Average Tone,0
2018-09-05,Average Tone,1.5311
2018-09-06,Average Tone,0.7987
2018-09-07,Average Tone,1.918
2018-09-08,Average Tone,0
2018-09-09,Average Tone,0
2018-09-10,Average Tone,-2.1841
2018-09-11,Average Tone,0
2018-09-12,Average Tone,0
2018-09-13,Average Tone,0
2018-09-14,Average Tone,0
2018-09-15,Average Tone,0
2018-09-16,Average Tone,0
2018-09-17,Average Tone,-0.2484
2018-09-18,Average Tone,-0.6002
2018-09-19,Average Tone,0.1074
2018-09-20,Average Tone,0
2018-09-21,Average Tone,0
2018-09-22,Average Tone,0
2018-09-23,Average Tone,0
2018-09-24,Average Tone,0
2018-09-25,Average Tone,0
2018-09-26,Average Tone,5.5794
2018-09-27,Average Tone,1.5226
2018-09-28,Average Tone,3.2379
2018-09-29,Average Tone,1.2442
2018-09-30,Average Tone,0
2018-10-01,Average Tone,0
2018-10-02,Average Tone,0.7267
2018-10-03,Average Tone,-2.9362
2018-10-04,Average Tone,2.2021
2018-10-05,Average Tone,2.3166
2018-10-06,Average Tone,0
2018-10-07,Average Tone,0
2018-10-08,Average Tone,1.9531
2018-10-09,Average Tone,2.4154
2018-10-10,Average Tone,0
2018-10-11,Average Tone,0
2018-10-12,Average Tone,0
2018-10-13,Average Tone,0
2018-10-14,Average Tone,0
2018-10-15,Average Tone,0
2018-10-16,Average Tone,0.5686
2018-10-17,Average Tone,4.2813
2018-10-18,Average Tone,-0.3637
2018-10-19,Average Tone,0
2018-10-20,Average Tone,0
2018-10-21,Average Tone,0
2018-10-22,Average Tone,0
2018-10-23,Average Tone,0
2018-10-24,Average Tone,0
2018-10-25,Average Tone,0
2018-10-26,Average Tone,0
2018-10-27,Average Tone,0
2018-10-28,Average Tone,0
2018-10-29,Average Tone,0.7736
2018-10-30,Average Tone,-0.3067
2018-10-31,Average Tone,-0.554
2018-11-01,Average Tone,0
2018-11-02,Average Tone,0.8593
2018-11-03,Average Tone,0.6122
2018-11-04,Average Tone,0
2018-11-05,Average Tone,0
2018-11-06,Average Tone,0
2018-11-07,Average Tone,0
2018-11-08,Average Tone,4.1667
2018-11-09,Average Tone,-0.3491
2018-11-10,Average Tone,0
2018-11-11,Average Tone,0
2018-11-12,Average Tone,0
2018-11-13,Average Tone,0
2018-11-14,Average Tone,0
2018-11-15,Average Tone,0.7833
2018-11-16,Average Tone,0
2018-11-17,Average Tone,0
2018-11-18,Average Tone,0
2018-11-19,Average Tone,0
2018-11-20,Average Tone,0.3979
2018-11-21,Average Tone,1.0949
2018-11-22,Average Tone,2.843
2018-11-23,Average Tone,0
2018-11-24,Average Tone,0
2018-11-25,Average Tone,0
2018-11-26,Average Tone,0
2018-11-27,Average Tone,0
2018-11-28,Average Tone,0
2018-11-29,Average Tone,0
2018-11-30,Average Tone,0
2018-12-01,Average Tone,0
2018-12-02,Average Tone,0
2018-12-03,Average Tone,0
2018-12-04,Average Tone,0
2018-12-05,Average Tone,2.1573
2018-12-06,Average Tone,0.8357
2018-12-07,Average Tone,0.0942
2018-12-08,Average Tone,0
2018-12-09,Average Tone,0
2018-12-10,Average Tone,0.4808
2018-12-11,Average Tone,0
2018-12-12,Average Tone,0
2018-12-13,Average Tone,0
2018-12-14,Average Tone,0
2018-12-15,Average Tone,0
2018-12-16,Average Tone,0
2018-12-17,Average Tone,0
2018-12-18,Average Tone,0
2018-12-19,Average Tone,0
2018-12-20,Average Tone,1.0626
2018-12-21,Average Tone,0
2018-12-22,Average Tone,0
2018-12-23,Average Tone,0
2018-12-24,Average Tone,-5.802
2018-12-25,Average Tone,0
2018-12-26,Average Tone,0
2018-12-27,Average Tone,0
2018-12-28,Average Tone,0
2018-12-29,Average Tone,0
2018-12-30,Average Tone,0
2018-12-31,Average Tone,0
2019-01-01,Average Tone,0
2019-01-02,Average Tone,0
2019-01-03,Average Tone,0
2019-01-04,Average Tone,-1.6334
2019-01-05,Average Tone,0
2019-01-06,Average Tone,0
2019-01-07,Average Tone,0
2019-01-08,Average Tone,0
2019-01-09,Average Tone,0
2019-01-10,Average Tone,0
2019-01-11,Average Tone,0.8343
2019-01-12,Average Tone,0
2019-01-13,Average Tone,0
2019-01-14,Average Tone,0
2019-01-15,Average Tone,-0.4501
2019-01-16,Average Tone,0
2019-01-17,Average Tone,1.6529
2019-01-18,Average Tone,2.5467
2019-01-19,Average Tone,0
2019-01-20,Average Tone,0
2019-01-21,Average Tone,-4.0067
2019-01-22,Average Tone,0
2019-01-23,Average Tone,1.6871
2019-01-24,Average Tone,0
2019-01-25,Average Tone,1.3333
2019-01-26,Average Tone,0
2019-01-27,Average Tone,0
2019-01-28,Average Tone,0
2019-01-29,Average Tone,0
2019-01-30,Average Tone,0
2019-01-31,Average Tone,0
2019-02-01,Average Tone,0
2019-02-02,Average Tone,0
2019-02-03,Average Tone,0
2019-02-04,Average Tone,0
2019-02-05,Average Tone,0
2019-02-06,Average Tone,0
2019-02-07,Average Tone,-1.0849
2019-02-08,Average Tone,-1.648
2019-02-09,Average Tone,0
2019-02-10,Average Tone,0
2019-02-11,Average Tone,0
2019-02-12,Average Tone,1.9802
2019-02-13,Average Tone,0
2019-02-14,Average Tone,3.1915
2019-02-15,Average Tone,0
2019-02-16,Average Tone,0
2019-02-17,Average Tone,0
